epoch	lr	train_loss	defect_iou	obj_recall	obj_precision	obj_f1	best_metric[f1_object]	is_best
81	0.000095	0.1195	0.4847	0.7200	0.7200	0.7200	0.7200	0
82	0.000086	0.1269	0.5149	0.7400	0.7551	0.7475	0.7475	0
83	0.000078	0.1108	0.5006	0.7200	0.6792	0.6990	0.6990	0
84	0.000070	0.1242	0.3923	0.7400	0.6852	0.7115	0.7115	0
85	0.000062	0.1325	0.5111	0.7200	0.8182	0.7660	0.7660	0
86	0.000054	0.1249	0.5108	0.7400	0.8043	0.7708	0.7708	0
87	0.000048	0.1283	0.5025	0.6800	0.8947	0.7727	0.7727	0
88	0.000041	0.1245	0.4903	0.6800	0.8947	0.7727	0.7727	0
89	0.000035	0.1252	0.5129	0.7200	0.7826	0.7500	0.7500	0
90	0.000030	0.1175	0.4979	0.7000	0.9459	0.8046	0.8046	0
91	0.000024	0.1218	0.4966	0.7200	0.7347	0.7273	0.7273	0
92	0.000020	0.1195	0.5174	0.7600	0.7917	0.7755	0.7755	0
93	0.000016	0.1257	0.5159	0.6800	0.8947	0.7727	0.7727	0
94	0.000012	0.1210	0.5277	0.7600	0.8085	0.7835	0.7835	0
95	0.000009	0.1196	0.5179	0.7400	0.8409	0.7872	0.7872	0
96	0.000006	0.1151	0.4848	0.7600	0.7308	0.7451	0.7451	0
97	0.000004	0.1102	0.5169	0.7600	0.8636	0.8085	0.8085	0
98	0.000002	0.1276	0.3868	0.7800	0.6724	0.7222	0.7222	0
99	0.000001	0.1242	0.5268	0.7400	0.8222	0.7789	0.7789	0
100	0.000000	0.1225	0.5045	0.7200	0.8000	0.7579	0.7579	0
