epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,257.823,0.99782,0.54276,0.9952,0.97734,0.97087,0.99369,0.69823,1.03556,0.50084,1.00061,0.0007294,0.0007294,0.0007294
43,263.071,0.99552,0.54742,0.98781,0.96056,0.94597,0.98958,0.72588,0.96368,0.47293,0.97712,0.0007228,0.0007228,0.0007228
44,268.37,0.95497,0.52795,0.97378,0.96792,0.96117,0.98857,0.71967,1.02452,0.49144,0.99681,0.0007162,0.0007162,0.0007162
45,273.561,0.9827,0.54075,0.98027,0.98997,0.95853,0.98997,0.72759,0.9861,0.46332,0.99134,0.0007096,0.0007096,0.0007096
46,278.957,0.98717,0.53483,0.97943,0.97086,0.9704,0.9924,0.73308,0.98923,0.46784,1.00004,0.000703,0.000703,0.000703
47,284.277,0.95361,0.52523,0.96679,0.98036,0.9695,0.99103,0.70798,1.0161,0.50658,1.00273,0.0006964,0.0006964,0.0006964
48,289.47,1.00158,0.52826,0.98992,0.98839,0.95146,0.98915,0.72522,1.00139,0.48029,0.98792,0.0006898,0.0006898,0.0006898
49,297.011,1.00821,0.54242,1.00374,0.96014,0.93545,0.98473,0.72615,0.96378,0.48659,0.99012,0.0006832,0.0006832,0.0006832
50,302.327,0.97235,0.51751,0.98958,0.98946,0.96117,0.99084,0.70313,0.99961,0.4803,0.98833,0.0006766,0.0006766,0.0006766
51,307.704,0.93387,0.50723,0.97046,0.98867,0.96117,0.99227,0.7069,1.03206,0.48089,1.00117,0.00067,0.00067,0.00067
52,313.008,0.96951,0.51682,0.98601,0.99032,0.97087,0.99417,0.7,1.02502,0.47598,0.99393,0.0006634,0.0006634,0.0006634
53,318.28,0.93593,0.51925,0.97658,0.98748,0.95146,0.99156,0.71526,1.01303,0.48585,1.0021,0.0006568,0.0006568,0.0006568
54,323.479,0.95192,0.51286,0.97851,0.97995,0.94902,0.98884,0.70819,1.04547,0.48119,1.0091,0.0006502,0.0006502,0.0006502
55,328.67,0.93995,0.51942,0.9852,0.9931,0.95146,0.99126,0.70982,1.02055,0.49198,1.00153,0.0006436,0.0006436,0.0006436
