epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,525.952,0.95296,0.42578,1.06826,0.99922,1,0.995,0.74813,0.91294,0.35634,1.06234,0.0007096,0.0007096,0.0007096
46,535.515,0.92495,0.42101,1.06957,0.99817,1,0.995,0.75362,0.89676,0.37203,1.04905,0.000703,0.000703,0.000703
47,546.987,0.95486,0.42193,1.07727,0.99941,1,0.995,0.75394,0.9088,0.35128,1.06138,0.0006964,0.0006964,0.0006964
48,556.631,0.95045,0.43984,1.08349,0.99928,1,0.995,0.71756,0.99767,0.36318,1.09605,0.0006898,0.0006898,0.0006898
49,566.272,0.91534,0.43005,1.05342,0.99925,1,0.995,0.74787,0.93356,0.36638,1.06958,0.0006832,0.0006832,0.0006832
50,575.671,0.89908,0.41838,1.04523,0.99944,1,0.995,0.76247,0.90479,0.35925,1.05698,0.0006766,0.0006766,0.0006766
51,582.635,0.93964,0.42836,1.06141,0.99941,1,0.995,0.75729,0.89159,0.34824,1.06021,0.00067,0.00067,0.00067
52,589.034,0.9309,0.42166,1.05642,0.99941,1,0.995,0.7593,0.88783,0.34726,1.06027,0.0006634,0.0006634,0.0006634
53,595.242,0.93167,0.41129,1.05653,0.99965,1,0.995,0.71701,0.99348,0.35795,1.09638,0.0006568,0.0006568,0.0006568
54,601.521,0.92871,0.42184,1.04987,0.99974,1,0.995,0.75301,0.90509,0.34407,1.06272,0.0006502,0.0006502,0.0006502
55,608.51,0.9193,0.42311,1.05646,0.99944,1,0.995,0.74009,0.93662,0.35408,1.07653,0.0006436,0.0006436,0.0006436
56,615.378,0.91616,0.40736,1.04363,0.99945,1,0.995,0.76325,0.86987,0.33498,1.04151,0.000637,0.000637,0.000637
57,621.965,0.89182,0.41352,1.03613,0.99956,1,0.995,0.75957,0.89988,0.34232,1.04621,0.0006304,0.0006304,0.0006304
58,630.961,0.87841,0.3978,1.04059,0.99948,1,0.995,0.75076,0.90284,0.34032,1.05899,0.0006238,0.0006238,0.0006238
59,637.96,0.85468,0.38734,1.03586,0.99948,1,0.995,0.74406,0.91341,0.3344,1.07542,0.0006172,0.0006172,0.0006172
60,644.691,0.87528,0.40524,1.04296,0.99943,1,0.995,0.75675,0.90561,0.35439,1.06601,0.0006106,0.0006106,0.0006106
61,661.533,0.86955,0.4052,1.03495,0.99928,1,0.995,0.7573,0.90231,0.35275,1.06242,0.000604,0.000604,0.000604
62,670.167,0.90534,0.40438,1.03927,0.9993,1,0.995,0.733,0.95093,0.34195,1.09645,0.0005974,0.0005974,0.0005974
63,677.237,0.88565,0.3896,1.04741,0.9994,1,0.995,0.72111,0.98478,0.3552,1.10094,0.0005908,0.0005908,0.0005908
64,684.272,0.8867,0.39617,1.0407,0.99946,1,0.995,0.75827,0.89451,0.3293,1.05108,0.0005842,0.0005842,0.0005842
65,693.112,0.85666,0.38756,1.03398,0.99934,1,0.995,0.75177,0.91015,0.33832,1.07381,0.0005776,0.0005776,0.0005776
66,700.02,0.87143,0.40544,1.02673,0.99943,1,0.995,0.74803,0.9195,0.34012,1.07245,0.000571,0.000571,0.000571
67,706.921,0.87281,0.39409,1.02747,0.99939,1,0.995,0.74393,0.92955,0.34984,1.07233,0.0005644,0.0005644,0.0005644
68,713.758,0.83983,0.38568,1.01188,0.99951,1,0.995,0.75583,0.90183,0.34498,1.05721,0.0005578,0.0005578,0.0005578
69,720.971,0.88815,0.40399,1.02613,0.99974,1,0.995,0.74024,0.95834,0.35657,1.0865,0.0005512,0.0005512,0.0005512
