epoch	lr	train_loss	defect_iou	obj_recall	obj_precision	obj_f1	best_metric[f1_object]	is_best
1	0.001000	0.3776	0.1713	0.5000	0.8929	0.6410	0.6410	1
2	0.001000	0.2780	0.0047	1.0000	0.0279	0.0544	0.0544	0
3	0.000999	0.2567	0.1613	0.7200	0.4675	0.5669	0.5669	0
4	0.000998	0.2322	0.1927	0.8600	0.1295	0.2251	0.2251	0
5	0.000996	0.2599	0.2046	0.9200	0.0996	0.1797	0.1797	0
6	0.000994	0.2364	0.2435	0.7200	0.7500	0.7347	0.7347	1
7	0.000991	0.2425	0.1029	0.9000	0.1424	0.2459	0.2459	0
8	0.000988	0.2212	0.3959	0.6800	0.7083	0.6939	0.6939	0
9	0.000984	0.2211	0.2259	0.6800	0.8293	0.7473	0.7473	1
10	0.000980	0.2299	0.3789	0.6800	0.6800	0.6800	0.6800	0
11	0.000976	0.2201	0.2440	0.8600	0.1894	0.3105	0.3105	0
12	0.000970	0.2414	0.0204	0.9600	0.0178	0.0349	0.0349	0
13	0.000965	0.2150	0.1861	0.8400	0.3529	0.4970	0.4970	0
14	0.000959	0.1945	0.4105	0.6800	0.8500	0.7556	0.7556	1
15	0.000952	0.2059	0.1630	0.9000	0.0832	0.1523	0.1523	0
16	0.000946	0.2061	0.0021	1.0000	0.1018	0.1848	0.1848	0
17	0.000938	0.2167	0.4089	0.9200	0.4946	0.6434	0.6434	0
18	0.000930	0.2028	0.1069	0.8600	0.0643	0.1196	0.1196	0
19	0.000922	0.2326	0.4449	0.7600	0.6786	0.7170	0.7170	0
20	0.000914	0.2047	0.2297	0.7600	0.6441	0.6972	0.6972	0
21	0.000905	0.2038	0.0661	0.9600	0.1143	0.2043	0.2043	0
22	0.000895	0.2021	0.4625	0.7600	0.5758	0.6552	0.6552	0
23	0.000885	0.1683	0.1620	0.9200	0.0954	0.1729	0.1729	0
24	0.000875	0.1906	0.0737	0.9400	0.0420	0.0804	0.0804	0
25	0.000864	0.1867	0.4681	0.8200	0.7069	0.7593	0.7593	1
26	0.000854	0.1861	0.4587	0.6600	0.7333	0.6947	0.6947	0
27	0.000842	0.1448	0.0675	0.7400	0.1153	0.1995	0.1995	0
28	0.000831	0.1969	0.1932	0.8800	0.3793	0.5301	0.5301	0
29	0.000819	0.1822	0.2778	0.7800	0.2281	0.3529	0.3529	0
30	0.000806	0.1572	0.1432	0.7200	0.2057	0.3200	0.3200	0
31	0.000794	0.1739	0.3838	0.6200	0.9688	0.7561	0.7561	0
32	0.000781	0.1626	0.4620	0.6000	0.9091	0.7229	0.7229	0
33	0.000768	0.1775	0.3884	0.7200	0.9474	0.8182	0.8182	1
34	0.000755	0.1613	0.4561	0.7400	0.7115	0.7255	0.7255	0
35	0.000741	0.1643	0.1907	0.7200	0.8182	0.7660	0.7660	0
36	0.000727	0.1595	0.0695	0.9600	0.1270	0.2243	0.2243	0
37	0.000713	0.1710	0.4419	0.7800	0.6724	0.7222	0.7222	0
38	0.000699	0.1572	0.3435	0.7400	0.4625	0.5692	0.5692	0
39	0.000684	0.1493	0.4130	0.6000	0.9677	0.7407	0.7407	0
40	0.000669	0.1473	0.3035	0.6200	0.9394	0.7470	0.7470	0
41	0.000655	0.1884	0.3839	0.7000	0.8333	0.7609	0.7609	0
42	0.000639	0.1586	0.4167	0.8600	0.6615	0.7478	0.7478	0
43	0.000624	0.1444	0.4941	0.6600	0.7857	0.7174	0.7174	0
44	0.000609	0.1418	0.4150	0.6800	0.8293	0.7473	0.7473	0
45	0.000594	0.1403	0.4546	0.6800	0.8095	0.7391	0.7391	0
46	0.000578	0.1293	0.3704	0.7800	0.7647	0.7723	0.7723	0
47	0.000563	0.1373	0.4873	0.8000	0.7273	0.7619	0.7619	0
