epoch	lr	train_loss	defect_iou	obj_recall	obj_precision	obj_f1	best_metric[f1_object]	is_best
48	0.000547	0.1353	0.4304	0.7400	0.5781	0.6491	0.6491	0
49	0.000531	0.1457	0.4041	0.6400	0.7805	0.7033	0.7033	0
50	0.000516	0.1394	0.4426	0.8000	0.5195	0.6299	0.6299	0
51	0.000500	0.1485	0.4670	0.6800	0.8500	0.7556	0.7556	0
52	0.000484	0.1303	0.1572	0.7800	0.2500	0.3786	0.3786	0
53	0.000469	0.1431	0.4237	0.7400	0.9250	0.8222	0.8222	1
54	0.000453	0.1325	0.4651	0.6400	0.8889	0.7442	0.7442	0
55	0.000437	0.1220	0.4519	0.6800	0.8293	0.7473	0.7473	0
56	0.000422	0.1371	0.4697	0.6600	0.9429	0.7765	0.7765	0
57	0.000406	0.1228	0.4925	0.7400	0.7708	0.7551	0.7551	0
58	0.000391	0.1261	0.3959	0.6800	0.7083	0.6939	0.6939	0
59	0.000376	0.1076	0.4537	0.7400	0.9250	0.8222	0.8222	0
60	0.000361	0.1208	0.3868	0.7400	0.7708	0.7551	0.7551	0
61	0.000345	0.1276	0.5121	0.7600	0.8636	0.8085	0.8085	0
62	0.000331	0.1109	0.5078	0.6600	0.8684	0.7500	0.7500	0
63	0.000316	0.1243	0.2989	0.7800	0.4699	0.5865	0.5865	0
64	0.000301	0.1211	0.4678	0.7000	0.8333	0.7609	0.7609	0
65	0.000287	0.1255	0.5063	0.6600	0.8684	0.7500	0.7500	0
66	0.000273	0.1161	0.5063	0.7200	0.8182	0.7660	0.7660	0
67	0.000259	0.1034	0.1576	0.7600	0.2568	0.3838	0.3838	0
68	0.000245	0.1080	0.4493	0.7000	0.8974	0.7865	0.7865	0
69	0.000232	0.1095	0.4331	0.8600	0.7167	0.7818	0.7818	0
70	0.000219	0.0978	0.4888	0.7200	0.8780	0.7912	0.7912	0
71	0.000206	0.1168	0.4629	0.7400	0.6727	0.7048	0.7048	0
72	0.000194	0.0935	0.4746	0.8000	0.7018	0.7477	0.7477	0
73	0.000181	0.1008	0.4993	0.6600	0.8049	0.7253	0.7253	0
74	0.000169	0.0983	0.4522	0.7200	0.7660	0.7423	0.7423	0
75	0.000158	0.1043	0.5067	0.8000	0.7843	0.7921	0.7921	0
76	0.000146	0.0971	0.4751	0.8200	0.7069	0.7593	0.7593	0
77	0.000136	0.1051	0.4262	0.7600	0.7755	0.7677	0.7677	0
78	0.000125	0.0846	0.4995	0.6800	0.8293	0.7473	0.7473	0
79	0.000115	0.1050	0.4886	0.7200	0.8372	0.7742	0.7742	0
80	0.000105	0.0964	0.4402	0.7600	0.7170	0.7379	0.7379	0
81	0.000095	0.0855	0.4297	0.7000	0.7292	0.7143	0.7143	0
82	0.000086	0.0974	0.4759	0.8000	0.7843	0.7921	0.7921	0
83	0.000078	0.0864	0.4214	0.8200	0.7193	0.7664	0.7664	0
84	0.000070	0.0911	0.3423	0.8400	0.7119	0.7706	0.7706	0
85	0.000062	0.0924	0.4723	0.7200	0.8000	0.7579	0.7579	0
86	0.000054	0.0961	0.4581	0.7600	0.7755	0.7677	0.7677	0
87	0.000048	0.0986	0.4836	0.7800	0.7959	0.7879	0.7879	0
88	0.000041	0.0957	0.4675	0.7200	0.7826	0.7500	0.7500	0
89	0.000035	0.0910	0.4724	0.7200	0.7660	0.7423	0.7423	0
90	0.000030	0.0912	0.4884	0.6600	0.9167	0.7674	0.7674	0
91	0.000024	0.0840	0.4575	0.7400	0.8043	0.7708	0.7708	0
92	0.000020	0.0881	0.4696	0.7400	0.7255	0.7327	0.7327	0
93	0.000016	0.0855	0.5310	0.7000	0.8974	0.7865	0.7865	0
94	0.000012	0.0969	0.4805	0.8200	0.8039	0.8119	0.8119	0
95	0.000009	0.0872	0.4952	0.7200	0.8000	0.7579	0.7579	0
96	0.000006	0.0844	0.4378	0.7600	0.6909	0.7238	0.7238	0
97	0.000004	0.0865	0.4549	0.7800	0.7500	0.7647	0.7647	0
98	0.000002	0.0841	0.3080	0.8400	0.6774	0.7500	0.7500	0
99	0.000001	0.0884	0.4984	0.7200	0.7826	0.7500	0.7500	0
100	0.000000	0.0931	0.4483	0.7600	0.6786	0.7170	0.7170	0
